source_concept_code,source_concept_id,source_vocabulary_id,source_domain,source_concept_class_id,source_description,source_description_synonym,relationship_id,predicate_id,confidence,target_concept_id,target_concept_name,target_vocabulary_id,target_domain_id,mapping_justification,mapping_tool,author_label,review_date,reviewer_name,reviewer_specialty,status,valid_start_date,valid_end_date,source_frequency
309316,,EU1_Race_Pat,,,Caucasian or White,,Maps to,exactMatch,1.0,8527,White,Race,Race,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
309315,,EU1_Race_Pat,,,African American  or Black,,Maps to,exactMatch,1.0,8516,Black or African American,Race,Race,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
309317,,EU1_Race_Pat,,,"Unknown, Unavailable or Unreported",,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
NOTRECORDED,,EU1_Race_Pat,,,Not Recorded,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1978653,,EU1_Race_Pat,,,Asian,,Maps to,exactMatch,1.0,8515,Asian,Race,Race,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
742143517,,EU1_Race_Pat,,,Multiple,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
672289,,EU1_Race_Pat,,,American Indian or Alaskan Native,,Maps to,exactMatch,1.0,8657,American Indian or Alaska Native,Race,Race,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1978658,,EU1_Race_Pat,,,Native Hawaiian or Other Pacific Islander,,Maps to,exactMatch,1.0,8557,Native Hawaiian or Other Pacific Islander,Race,Race,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
672288,,EU1_Race_Pat,,,Hispanic,,,noMatch,1.0,0,,,,Hispanic is an ethnicity under current model,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
309318,,EU1_Race_Pat,,,Patient Declines,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
291653217,,EU1_Race_Pat,,,1,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
291652574,,EU1_Race_Pat,,,2,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
345135172,,EU1_Race_Pat,,,Alaskan Native,,Maps to,exactMatch,1.0,8657,American Indian or Alaska Native,Race,Race,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1978654,,EU1_Race_Pat,,,Asian American,,Maps to,exactMatch,1.0,8515,Asian,Race,Race,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
349410364,,EU1_Race_Pat,,,K,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
701319655,,EU1_Race_Pat,,,CD:668842032,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
386320087,,EU1_Race_Pat,,,P,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
668842032,,EU1_Race_Pat,,,CD:1594,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
351616614,,EU1_Race_Pat,,,Naa,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
1594,,EU1_Race_Pat,,,Description Missing,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
292103953,,EU1_Race_Pat,,,AMI,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
734160268,,EU1_Race_Pat,,,CD:733736255,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
291653427,,EU1_Race_Pat,,,3,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
484864221,,EU1_Race_Pat,,,CD:291653217,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
731177167,,EU1_Race_Pat,,,CD:701319655,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
733736255,,EU1_Race_Pat,,,CD:731177167,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
352577862,,EU1_Race_Pat,,,Ja,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
811711235,,EU1_Race_Pat,,,CD:810016129,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
482898758,,EU1_Race_Pat,,,CD:344916564,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
344916564,,EU1_Race_Pat,,,American Indian,,Maps to,exactMatch,1.0,8657,American Indian or Alaska Native,Race,Race,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
23815030,,EU1_Race_Pat,,,African Am.,,Maps to,exactMatch,1.0,8516,Black or African American,Race,Race,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
810016129,,EU1_Race_Pat,,,CD:1594,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
774970135,,EU1_Race_Pat,,,CD:734160268,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
291653020,,EU1_Race_Pat,,,9,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
DESCMISSING,,EU1_Race_Pat,,,Description Missing,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
291653082,,EU1_Race_Pat,,,4,,,noMatch,1.0,0,,,,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
672288,,EU1_Ethnicity_Pat,,,Hispanic,,Maps to,exactMatch,1.0,38003563,Hispanic or Latino,Ethnicity,Ethnicity,Use Hispanic race to populate ethnicity when available,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
312507,,EU1_Ethnicity_Pat,,,Non-Hispanic or Latino,,Maps to,exactMatch,1.0,38003564,Not Hispanic or Latino,Ethnicity,Ethnicity,sharepoint-legacy migration,MM_U,legacy,2026-07-16,,,approved,1970-01-01,2099-12-31,
