source_concept_code,source_description,fca_concept_id,fca_category,fca_assessments,fca_methods,omop_domain,suggested_concept_id,suggested_concept_name,val_type,units,min_val,max_val,custom_list_values,template_names,group_names,n_templates
10,SpO2,C0418.00,A,spo2,,Observation,0,,numeric,%,0,100,,AMB BASIC VITALS|AMB COMPLEX VITALS NAV|AMB FLOWSHEET VITALS|AMBULATORY VITALS FLOWSHEET|AN POST-OP VITALS|AN PRE-OP VITALS NAV|AN PROCEDURE VITALS|AN VITALS/NPO STATUS|APHERESIS COMPREHENSIVE|BAR SUR COMPLEX VITALS|BH ADULT DAILY SHIFT ASSESSMENT/ADLS|CARDIAC REHAB VITALS NAV|CV TEE/CARDIO LOG|CV TEE/CARDIO VITALS|CV TILT TABLE ABBREVIATED|CV TILT TABLE INTRAPROCEDURE|CV TILT TABLE LOG|CV TILT TABLE RECOVERY|DATA RECORD|DEVICE AUTOFILE TEMPLATE|ED CODE VITALS/INTERVENTIONS NAV|ED DEPARTURE CONDITION NAV|ED IV POST-THROMBOLYTIC 15 MINUTE REASSESSMENT|ED IV POST-THROMBOLYTIC 60 MINUTE REASSESSMENT|ED IV POST-THROMBOLYTICALTEPLASE 30 MINUTE REASSESSMENT|ED NAR - STEMI VITALS|ED NAR - TRAUMA VITALS|ED NAR CODE VITALS|ED PRIMARY ASSESSMENT|ED PRIMARY ASSESSMENT PEDS|ED VITALS|ED VITALS MINIMAL PAIN DOC|EHC CV OXYGEN THERAPY/SPO2|EHC IP DEVICE INTEGRATION|EHC IP ICU COMPLEX VITALS AND DRIPS|EHC IP INTRA-AORTIC BALLOON PUMP|EHC IP OB ANTEPARTUM ASSESSMENT ROVER|EHC IP POST PROCEDURE|EHC IP RT NEONATAL OXYGEN/CPAP/NIV|EHC IP RT NEONATAL VENT DOC|EHC NICU THERAPY|EHC OR/GI PERIOP VITALS|EHC SEDATION NARR VITALS|EHC SEDATION VITALS QUICKBAR|EMORY TRANSFER CENTER FLOWSHEET|ENDOSCOPY INTRAPROCEDURE VITALS|GI INTRAOP VITALS|HEMODIALYSIS VITALS|HH/HSPC MOBILE VITALS ASSESSMENT|IP BASIC VITALS|IP BASIC VITALS NAV|IP BLOOD ADMIN WITH VITAL SIGNS|IP BLOOD VITALS - NAV|IP CAR SEAT CHALLENGE|IP CODE BLUE|IP CODE VITAL SIGNS NAV|IP ECT THERAPY - POST|IP ICU COMPLEX VITALS|IP ICU INTAKE/OUTPUT WITH VITALS|IP INTRA-AORTIC BALLOON PUMP|IP MEWS SCORE|IP NICU COMPLEX VITAL SIGNS|IP NICU DAILY CARES/SAFETY|IP OB ANTEPARTUM ASSESSMENT|IP OB CAR SEAT SCREEN NAV|IP OB LABOR ASSESSMENT|IP OB MAGNESIUM SULFATE|IP OB MATERNAL FETAL TRIAGE INDEX (AWHONN)|IP OB MATERNAL VITALS NAV|IP OB NEWBORN VITALS|IP OB POSTPARTUM|IP PATIENT CONTROLLED ANALGESIA (PCA)|IP PCT VITALS INTAKE/OUTPUT|IP PEDS BASIC VITAL SIGNS|IP PEDS BASIC VITAL SIGNS & INTAKE/OUTPUT|IP PERITONEAL DIALYSIS|IP PICU COMPLEX VITAL SIGNS|IP RT ASSESSMENT NAV|IP RT ASSESSMENTS|IP RT OXYGEN/CPAP/NIV|IP RT TREATMENT|IP RT VITALS NAV|IP TO PROCEDURAL AREA PREP|IP VENTILATOR DOC|LTC PCT VITALS NAV|LTC PCT VITALS/WEIGHT|MFM RECOVERY|NEPH HEMODIALYSIS NAV|NEPH POST-HEMODIALYSIS NAV|NEPH PRE-HEMODIALYSIS NAV|OB EFM POPUP|OB NAR VITALS MATERNAL|OB NEWBORN DAILY CARES/SAFETY|OB QUICK VITALS POPUP|OB RECOVERY|ONC INFUSION REACTION|ONCBCN BMT APHERESIS|ONCBCN ENGINEERED CELL INFUSION|ONCBCN RAD ONC GAMMA KNIFE FRAME TREATMENT|ONCBCN RAD ONC GAMMA KNIFE MASK TREATMENT|ONCBCN STEM CELL INFUSION DATA|OR PACU FLOWSHEET|OR PACU PEDIATRIC FLOWSHEET|OR PERI-OP VITALS|ORTHOSTATIC VITALS|PEDS VITALS WITH BMI/BSA|PLASMAPHERESIS|RAD ONC BRACHYTHERAPY CHECKLIST|REHAB OP BASELINE VITALS|REHAB OP PT OBJECTIVE CONCUSSION EVAL|REHAB OP SLP AIRWAY EVAL|REHAB OP SLP TRACHEOSTOMY|RIS INTRAPROCEDURE SEDATION NAV|RIS IR BASIC VITALS|RIS IR HEMO TECH|RIS NAR STREAMLINED VITALS|RIS NAR VITALS MINIMAL PAIN DOC|RIS POSTPROCEDURE SEDATION NAV|RIS PREPROCEDURE SEDATION NAV|ROVER BASIC VITALS|ROVER BASIC VITALS + SONNET|ROVER ICU VITALS|ROVER IP PCT VITALS INTAKE/OUTPUT + SONNET|ROVER IP RT OXYGEN AND BIPAP + SONNET|ROVER PEDS ICU VITALS|ROVER PEDS VITALS|ROVER RT BASIC ASSESSMENT + SONNET|ROVER RT CHEST PHYSIOTHERAPY TX + SONNET|ROVER RT INHALATION THERAPY TX + SONNET|SIX MINUTE WALK TEST|T EHC ACUTE STROKE FLOWSHEET|T EHC BH PSYCH MOBILE EVAL|T EHC BH PSYCH MOBILE EVAL NURSING DOCUMENTATION NAV|T EHC HBFF NURSING INTAKE ASSESSMENT SUA|T EHC IP POST FALL ASSESSMENT|T EHC OP PT NEURO ORTHO TEMPLATE|T EHC OP PT VITALS NAV|T EHC OR PERIOP VITALS - ASC|T EHC RHC NICU OBJECTIVE NAV|T EHC TRANSITIONS OUTPATIENT NURSING INTAKE,Additional Assessments|Assessment Vitals|Baseline Vitals|Baxter Welch Allyn|Breathing|Car Seat Vitals|Device Data|Encounter Vitals|Inhalation Treatment|Log: CV Procedure|MEWS Score|Maternal Vitals|Nursing Assessment|Oxygen|Oxygen Therapy|Oxygen Therapy / SpO2|Oxygen Therapy/Pulse Ox|Pediatric Vitals|Pulse Oximetry|QuickBar Vitals|Reaction Vitals|Respiratory Assessment|Sedation Vital Signs|SpO2|TC Vitals|Tilt Table|Tilt Table Assessment|Tilt Table Recovery|Tracheostomy Baseline Vitals|Vital Signs|Vital signs|Vitals|Vitals Prior to Handling,140
10001,SLICC-DI Score,C0447.00,A,,,Measurement,0,,numeric,,,,,EHC AMB RHU SLICC-DI,SLICC-DI Score,1
10022,Rodnan Skin Score,C0447.00,A,,,Measurement,0,,numeric,,,,,EHC AMB RHU RODNAN SKIN SCORE,Rodnan Skin Score,1
10037,HAS-BLED Score,C0447.00,A,,,Measurement,0,,numeric,,,,,T ANTICOAG HAS-BLED,HAS-BLED,1
10045,Age of Onset,C0447.00,A,,,Measurement,0,,numeric,,,,,AMB GER ADRD SCREENING,ADRD Screening,1
10046,Age of Diagnosis,C0447.00,A,,,Measurement,0,,numeric,,,,,AMB GER ADRD SCREENING,ADRD Screening,1
10083,How many cans of caffeinated soft drinks do you drink in a regular day?,C0447.00,A,,,Measurement,0,,numeric,,,,,SLEEP LAB BEDTIME QUESTIONNAIRE SLEEP DISORDER,Bedtime Questionnaire,1
10084,How many today?,C0447.00,A,,,Measurement,0,,numeric,,,,,SLEEP LAB BEDTIME QUESTIONNAIRE SLEEP DISORDER,Bedtime Questionnaire,1
1010010012,Airway (WDL),C0335.00,A,wdl_screening,,Observation,0,,custom_list,,,,Within Defined Limits|Exceptions to WDL,ED PRIMARY ASSESSMENT|ED PRIMARY ASSESSMENT PEDS,Airway,2
1010010014,Breathing (WDL),C0335.00,A,wdl_screening,,Observation,0,,custom_list,,,,Within Defined Limits|Exceptions to WDL,ED PRIMARY ASSESSMENT|ED PRIMARY ASSESSMENT PEDS,Breathing,2
