source_concept_code,source_description,fca_concept_id,fca_category,fca_assessments,omop_domain
10,SpO2,C0418.00,A,spo2,Observation
10001,SLICC-DI Score,C0447.00,A,,Measurement
10022,Rodnan Skin Score,C0447.00,A,,Measurement
10037,HAS-BLED Score,C0447.00,A,,Measurement
10045,Age of Onset,C0447.00,A,,Measurement
10046,Age of Diagnosis,C0447.00,A,,Measurement
10083,How many cans of caffeinated soft drinks do you drink in a regular day?,C0447.00,A,,Measurement
10084,How many today?,C0447.00,A,,Measurement
1010010012,Airway (WDL),C0335.00,A,wdl_screening,Observation
1010010014,Breathing (WDL),C0335.00,A,wdl_screening,Observation
1010010015,Circulation (WDL),C0335.00,A,wdl_screening,Observation
1010010018,Disability (WDL),C0335.00,A,wdl_screening,Observation
1010010022,Sudden Onset of Severe Headache?,C0137.00,A,headache,Observation
1020000001,Item 8 (Number Used),C0447.00,A,,Measurement
1020000002,Item 9 (Number Used),C0447.00,A,,Measurement
1020000003,Item 10 (Number Used),C0447.00,A,,Measurement
1020000004,Total Wet Weight (g),C0131.00,A,weight,Observation
1020000007,Item 1 (Number Used),C0447.00,A,,Measurement
1020000008,Item 2 (Number Used),C0447.00,A,,Measurement
1020000009,Item 3 (Number Used),C0447.00,A,,Measurement
1020000010,Item 4 (Number Used),C0447.00,A,,Measurement
1020000011,Item 5 (Number Used),C0447.00,A,,Measurement
1020000012,Item 6 (Number Used),C0447.00,A,,Measurement
1020000013,Item 7 (Number Used),C0447.00,A,,Measurement
1020000301,Headache Present,C0137.00,A,headache,Observation
1020000501,Epigastric Pain,C0101.00,A,pain_general,Observation
1020000601,Reflexes,C0100.00,A,reflex,Observation
10200313,One Minute Apgar,C0447.00,A,,Measurement
10200314,Five Minute Apgar,C0447.00,A,,Measurement
10200323,One Minute Apgar,C0447.00,A,,Measurement
10200324,Five Minute Apgar,C0447.00,A,,Measurement
10200333,One Minute Apgar,C0447.00,A,,Measurement
10200334,Five Minute Apgar,C0447.00,A,,Measurement
10200343,One Minute Apgar,C0447.00,A,,Measurement
10200344,Five Minute Apgar,C0447.00,A,,Measurement
10200353,One Minute Apgar,C0447.00,A,,Measurement
10200354,Five Minute Apgar,C0447.00,A,,Measurement
10200363,One Minute Apgar,C0447.00,A,,Measurement
10200364,Five Minute Apgar,C0447.00,A,,Measurement
1020100131,Apnea Present During Test,C0097.00,A,apnea,Observation
1020100138,Patient Currently in Pain?,C0101.00,A,pain_general,Observation
1020100169,Pain Management Requests,C0101.00,A,pain_general,Observation
1020100223,Bishop Score,C0447.00,A,,Measurement
1020100247,Volume of Infusion (mL),C0447.00,A,,Measurement
1020100249,Returned Volume (Estimated g/mL),C0447.00,A,,Measurement
1020100253,Volume (mL) Magnesium,C0447.00,A,,Measurement
1020100288,Number of Repair Packets,C0447.00,A,,Measurement
1020100295,Length of Stage 1 Minutes,C0447.00,A,,Measurement
1020100379,Length of Stage 1 Hours,C0447.00,A,,Measurement
1020100380,Length of Stage 2 Minutes,C0447.00,A,,Measurement
1020100383,Gestational Age at Birth,C0447.00,A,,Measurement
1020100384,Length of Stage 2 Hours,C0447.00,A,,Measurement
1020100445,Weight/Length Measurements Taken,C0131.00,A,weight,Observation
1020100595,Is estimated Fetal Weight > 4 kg,C0131.00,A,weight,Observation
1020100596,Number of previous vaginal births?,C0447.00,A,,Measurement
1020100620,Hearing Examination,C0088.00,A,hearing,Observation
1020100621,Medical Reason Hearing Screen Not Done,C0088.00,A,hearing,Observation
1020100622,Hearing Examination Left,C0088.00,A,hearing,Observation
1020100623,Hearing Examination Right,C0088.00,A,hearing,Observation
1020100625,Dietary Intake Other Than Breast Milk Administered - Narrative Documentation,C0087.00,A,intake,Observation
1020100645,Doppler/Fetoscope Rate (Fetus D),C0447.00,A,,Measurement
1020100647,FHR Baseline Rate (Fetus D),C0447.00,A,,Measurement
1020100649,Variability (Fetus D),C0084.00,A,fetal_variability,Observation
1020100655,Doppler/Fetoscope Rate (Fetus E),C0447.00,A,,Measurement
1020100656,FHR Baseline Rate (Fetus E),C0447.00,A,,Measurement
1020100658,Variability (Fetus E),C0084.00,A,fetal_variability,Observation
1020100670,SpO2: Post-Ductal (Either Foot),C0418.00,A,spo2,Observation
1020100671,PPH Admission Risk Score,C0447.00,A,,Measurement
1020100725,Item 1 (Number Used),C0447.00,A,,Measurement
1020100726,Item 2 (Number Used),C0447.00,A,,Measurement
1020100727,Item 3 (Number Used),C0447.00,A,,Measurement
1020100728,Item 4 (Number Used),C0447.00,A,,Measurement
1020100729,Item 5 (Number Used),C0447.00,A,,Measurement
1020100730,Item 6 (Number Used),C0447.00,A,,Measurement
1020100731,Item 7 (Number Used),C0447.00,A,,Measurement
1020100732,Item 8 (Number Used),C0447.00,A,,Measurement
1020100733,Item 9 (Number Used),C0447.00,A,,Measurement
1020100734,Item 10 (Number Used),C0447.00,A,,Measurement
1020100745,Quantitative Blood Loss - Vaginal (mL),C0447.00,A,,Measurement
1020100761,Simplified Bishop Score,C0447.00,A,,Measurement
1020100771,Does the woman require prompt attention?,C0079.00,A,attention,Observation
1020100778,Fetal Heart Rate auscultated for more than 60 seconds,C0078.00,A,heart_rate,Observation
1020100779,MFTI Score,C0447.00,A,,Measurement
1020100804,Non-Pharmacologic Pain Management of Labor,C0101.00,A,pain_general,Observation
1020100808,Pain Source,C0101.00,A,pain_general,Observation
1020100821,Breast Milk - P.O. (mL),C0447.00,A,,Measurement
1020100822,Breast Milk - Tube (mL),C0447.00,A,,Measurement
1020100824,Fetus B - Fetal Heart Rate Auscultated for More Than 60 Seconds,C0078.00,A,heart_rate,Observation
1020100825,Fetus C - Fetal Heart Rate Auscultated for More Than 60 Seconds,C0078.00,A,heart_rate,Observation
1020100826,Fetus D - Fetal Heart Rate Auscultated for More Than 60 Seconds,C0078.00,A,heart_rate,Observation
1020100827,Fetus E - Fetal Heart Rate Auscultated for More Than 60 Seconds,C0078.00,A,heart_rate,Observation
1020100833,Total Wet Weight (g),C0131.00,A,weight,Observation
1020100837,Minutes Between Contractions in Non-Stress Test 2,C0447.00,A,,Measurement
1020100838,Minutes Between Contractions in Non-Stress Test 3,C0447.00,A,,Measurement
1020100839,Minutes Between Contractions in Non-Stress Test 4,C0447.00,A,,Measurement
1020100840,Minutes Between Contractions in Non-Stress Test 5,C0447.00,A,,Measurement
1020100862,Variability in Waveform for Non-Stress Test 2,C0084.00,A,fetal_variability,Observation
1020100878,Baseline Fetal Heart Rate for Non-Stress Test 2,C0078.00,A,heart_rate,Observation
1020100879,Baseline Fetal Heart Rate for Non-Stress Test 3,C0078.00,A,heart_rate,Observation
1020100880,Baseline Fetal Heart Rate for Non-Stress Test 4,C0078.00,A,heart_rate,Observation
1020100881,Baseline Fetal Heart Rate for Non-Stress Test 5,C0078.00,A,heart_rate,Observation
1020100882,Amniotic Fluid Volume (cm) for Non-Stress Test 2,C0447.00,A,,Measurement
1020100883,Amniotic Fluid Volume (cm) for Non-Stress Test 3,C0447.00,A,,Measurement
1020100884,Amniotic Fluid Volume (cm) for Non-Stress Test 4,C0447.00,A,,Measurement
1020100885,Amniotic Fluid Volume (cm) for Non-Stress Test 5,C0447.00,A,,Measurement
1020100904,Urine Protein,C0076.00,A,urine,Observation
1020100910,Donor Breast Milk - P.O. (mL),C0447.00,A,,Measurement
1020100911,Donor Breast Milk - Tube (mL),C0447.00,A,,Measurement
1020100914,Formula - P.O. (mL),C0447.00,A,,Measurement
1020100915,Formula - Tube (mL),C0447.00,A,,Measurement
1020100916,Substituted Item 1 (Number Used),C0447.00,A,,Measurement
1020100917,Substituted Item 2 (Number Used),C0447.00,A,,Measurement
1020100918,Substituted Item 1 Dry Weight (g),C0131.00,A,weight,Observation
1020100919,Substituted Item 2 Dry Weight (g),C0131.00,A,weight,Observation
1020100941,Surgical Delivery Estimated Blood Loss (mL),C0447.00,A,,Measurement
1020100942,Quantitative Blood Loss - Surgical (mL),C0447.00,A,,Measurement
1020100943,Total Blood Loss - Surgical Delivery (mL),C0447.00,A,,Measurement
1020100946,Substituted Item 1 (Number Used),C0447.00,A,,Measurement
1020100947,Substituted Item 2 (Number Used),C0447.00,A,,Measurement
1020100948,Substituted Item 1 Dry Weight (g),C0131.00,A,weight,Observation
1020100949,Substituted Item 2 Dry Weight (g),C0131.00,A,weight,Observation
