source_concept_code,source_description,decision,target_concept_id,target_concept_name,target_vocabulary_id,target_concept_code,predicate_id,confidence,domain_id,qualifier_concept_id,qualifier_concept_name,qualifier_relationship_id,mapping_justification,needs_source_data,mapping_tool,reviewer_name,reviewer_type,review_date
10,SpO2,map,4020553,Oxygen saturation measurement,SNOMED,104847001,exactMatch,0.95,Measurement,,,,Peripheral oxygen saturation measured across 140 vitals templates,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
10001,SLICC-DI Score,map,742581,Systemic Lupus International Coordinating Committee American College of Rheumatology Damage Index (SLICC/ACR) Damage Index,OMOP Extension,OMOP5181794,exactMatch,0.95,Measurement,,,,SLICC Damage Index total score for SLE organ damage assessment,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
10022,Rodnan Skin Score,flag,,,,,broadMatch,,,,,,Rodnan Skin Score for scleroderma; no specific OMOP concept exists in vocabulary,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
10037,HAS-BLED Score,map,44806943,"Assessment using HAS-BLED (hypertension, abnormal renal and/or liver function, stroke, bleeding history or predisposition, labile INR (international normalised ratio), elderly over 65, and drugs and/or alcohol concomitantly) score",SNOMED,794231000000107,exactMatch,0.95,Procedure,,,,HAS-BLED bleeding risk assessment score for anticoagulation patients,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
10045,Age of Onset,map,40483839,Age at onset of clinical finding,SNOMED,445518008,exactMatch,0.9,Observation,,,,Age of onset recorded in ADRD (dementia) screening,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
10046,Age of Diagnosis,map,4307859,Age at diagnosis,SNOMED,423493009,exactMatch,0.9,Observation,,,,Age of diagnosis recorded in ADRD screening,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
10083,How many cans of caffeinated soft drinks do you drink in a regular day?,map,37153131,Caffeine intake,SNOMED,1208604004,narrowMatch,0.8,Observation,,,,Number of caffeinated soft drinks per day; narrower than generic caffeine intake,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
10084,How many today?,map,37153131,Caffeine intake,SNOMED,1208604004,narrowMatch,0.75,Observation,,,,Number of caffeinated drinks today; narrower than generic caffeine intake,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1010010012,Airway (WDL),map,4229713,Airway patency status,SNOMED,404996007,exactMatch,0.9,Observation,,,,ED primary assessment airway WDL screening,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1010010014,Breathing (WDL),map,3000042,Breathing pattern impairment [CCC],LOINC,28148-5,broadMatch,0.75,Observation,,,,ED primary assessment breathing WDL; best available breathing assessment concept,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1010010015,Circulation (WDL),map,3016781,Circulation Status [OMAHA],LOINC,28256-6,broadMatch,0.75,Observation,,,,ED primary assessment circulation WDL screening,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1010010018,Disability (WDL),map,4012649,Physical disability assessment score,SNOMED,165270003,broadMatch,0.7,Measurement,,,,ED primary assessment disability WDL; best available neurological disability concept,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1010010022,Sudden Onset of Severe Headache?,map,378253,Headache,SNOMED,25064002,narrowMatch,0.85,Condition,,,,"Sudden onset severe headache screening in ED, maps to headache finding",no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020000001,Item 8 (Number Used),map,4354266,Actual blood loss,SNOMED,250771004,exactMatch,0.9,Measurement,,,,Item 8 count used in surgical QBL calculator; maps to blood loss measurement,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020000002,Item 9 (Number Used),map,4354266,Actual blood loss,SNOMED,250771004,exactMatch,0.9,Measurement,,,,Item 9 count used in surgical QBL calculator; maps to blood loss measurement,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020000003,Item 10 (Number Used),map,4354266,Actual blood loss,SNOMED,250771004,exactMatch,0.9,Measurement,,,,Item 10 count used in surgical QBL calculator; maps to blood loss measurement,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020000004,Total Wet Weight (g),map,4099154,Body weight,SNOMED,27113001,narrowMatch,0.8,Measurement,,,,Total wet weight of soaked items in surgical QBL calculator,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020000007,Item 1 (Number Used),map,4354266,Actual blood loss,SNOMED,250771004,exactMatch,0.9,Measurement,,,,Item 1 count used in surgical QBL calculator,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020000008,Item 2 (Number Used),map,4354266,Actual blood loss,SNOMED,250771004,exactMatch,0.9,Measurement,,,,Item 2 count used in surgical QBL calculator,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020000009,Item 3 (Number Used),map,4354266,Actual blood loss,SNOMED,250771004,exactMatch,0.9,Measurement,,,,Item 3 count used in surgical QBL calculator,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020000010,Item 4 (Number Used),map,4354266,Actual blood loss,SNOMED,250771004,exactMatch,0.9,Measurement,,,,Item 4 count used in surgical QBL calculator,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020000011,Item 5 (Number Used),map,4354266,Actual blood loss,SNOMED,250771004,exactMatch,0.9,Measurement,,,,Item 5 count used in surgical QBL calculator,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020000012,Item 6 (Number Used),map,4354266,Actual blood loss,SNOMED,250771004,exactMatch,0.9,Measurement,,,,Item 6 count used in surgical QBL calculator,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020000013,Item 7 (Number Used),map,4354266,Actual blood loss,SNOMED,250771004,exactMatch,0.9,Measurement,,,,Item 7 count used in surgical QBL calculator,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020000301,Headache Present,map,378253,Headache,SNOMED,25064002,exactMatch,0.9,Condition,,,,Headache present in preeclampsia screening,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020000501,Epigastric Pain,map,197381,Epigastric pain,SNOMED,79922009,exactMatch,0.95,Condition,,,,Epigastric pain assessment in preeclampsia screening,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
1020000601,Reflexes,map,4227123,Reflex,SNOMED,87572000,exactMatch,0.85,Observation,,,,Deep tendon reflex grading in preeclampsia screening,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
10200313,One Minute Apgar,map,3016704,1 minute Apgar Score,LOINC,9272-6,exactMatch,0.95,Measurement,,,,One minute Apgar score for Baby A,no,claude-opus-4-6+ohdsi-vocab-mcp,claude-opus-4-6,llm,2026-03-08
