source_concept_code,source_description,fca_concept_id,fca_category,fca_assessments,fca_methods,omop_domain,suggested_concept_id,suggested_concept_name,val_type,units,min_val,max_val,custom_list_values,template_names,group_names,n_templates
1570632752,Frequency of Vision Correction Use,C0044.00,A,vision,,Observation,0,,custom_list,,,,All the time|For distance|For driving|For reading|Owns but does not wear|Other (Comment),REHAB OP OT SUBJECTIVE VISION|REHAB OP OT SUBJECTIVE VISION EVAL,Subjective Vision Assessment,2
1570490122,"GCS<=14, Signs of Skull Fracture, or signs of AMS",C0004.00,A,gcs,,Observation,0,,numeric,,,,,T ED CLINICAL CALCULATOR - PECARN PEDIATRIC HEAD INJURY/TRAUMA ALGORITHM,PECARN Pediatric Head Injury/Trauma Algorithm,1
210304010077801,Nutrition Encounter Ratio,C0053.00,A,braden,,Observation,0,,string,,,,1|2|3|4|5|6|7|8|9|10,EHC AMB FN KNOWLEDGE/BELIEF/ATTITUDES AND BEHAVIOR,Adherence,1
7424700033,Eyes Open Right Hand,C0447.00,A,,,Measurement,0,,numeric,,,,,EHC RHB MOBERG PICK UP TEST,Moberg Pick Up Test,1
210653282135,O2 Flow Rate,C0447.00,A,,,Measurement,0,,numeric,L/min,0,,,T EHC AMB PUL RHB D1 OUTCOME SUMMARY,Functional Outcome,1
1120100387,Processed Reservoir (Cumulative),C0447.00,A,,,Measurement,0,,numeric,(mL),,,,PERFUSION AUTOTRANSFUSION SYSTEM,Processing,1
14487,Cable/Coil Color 1,C0072.00,A,color,,Observation,0,,custom_list,,,,anthracite|beige|beige metallic|black|blue|bordeaux red|brown|carbon|charcoal|chocolate|copper brown|dark sienna|golden blonde|maize|mocha|nordic grey|pacific blue|pink|sand|sandy blonde|sienna brown|silver|silver metallic|slate gray|smoke|white|grey|Lava Red|Velvet Black|Caribbean Pirate|Precious Pink|Blue Ocean|Chestnut,T EHC AMB AUD CI IMPLANT DETAILS,Left Ear,1
1315400178,"Progress/Outcomes (Motor Speech Goal 2, IRF-SLP)",C0075.00,A,speech,,Observation,0,,custom_list,,,,good progress toward goal|continuing progress toward goal|progress slower than expected|unable to make needed progress|medical status inhibiting progress|goal met|goal partially met|goal not met|goal no longer appropriate|goal revised this date|goal ongoing|discharged from facility|medical status inhibited participation|other (see comments),CPM S24 IRF GOAL SUMMARY,Motor Speech Goal 2 (IRF-SLP),1
7420331635,K0005 Back Height Inches,C0062.00,A,height,,Observation,0,,numeric,,,,,T EHC PT SEATING MANUAL MOBILITY NAV|T EHC RHB WC SEATING MOBILITY EVAL,Ultralightweight Manual Wheelchair K0005,2
304001132,"Strategies/Barriers (Bed Mobility Goal 3, PT-IRF)",C0039.00,A,mobility,,Observation,0,,string,,,,,CPM S24 IRF GOAL SUMMARY|ZZZ CPM S21 IRF GOAL SUMMARY,Bed Mobility Goal 3 (PT-IRF),2
