source_concept_code,source_description,fca_concept_id,reason,intent,val_type,units,min_val,max_val,custom_list_values,template_names,group_names,n_templates
1542101126,Clinical Impressions,C0000.00,no_clinical_attributes,,string,,,,,T EHC HBFF SUBSTANCE USE ASSESSMENT,Recommendations,1
18500,"Daily activities (work, driving, social)",C0000.00,no_clinical_attributes,,custom_list,,,,1|2|3|4|5|6|7,T EHC AMB NEURO QOLIE-10-P,Part C. Rate importance of topics,1
18502,"Medication effects (physical, mental)",C0000.00,no_clinical_attributes,,custom_list,,,,1|2|3|4|5|6|7,T EHC AMB NEURO QOLIE-10-P,Part C. Rate importance of topics,1
18503,Worry about fits (impact of fits),C0000.00,no_clinical_attributes,,custom_list,,,,1|2|3|4|5|6|7,T EHC AMB NEURO QOLIE-10-P,Part C. Rate importance of topics,1
18504,Overall quality of life,C0000.00,no_clinical_attributes,,custom_list,,,,1|2|3|4|5|6|7,T EHC AMB NEURO QOLIE-10-P,Part C. Rate importance of topics,1
18515,Uncontrollable movements of your neck preventing your head from being straight?,C0000.00,no_clinical_attributes,,custom_list,,,,Not at all|A little|Moderately|Quite a bit|Extremely,T EHC AMB NEURO CDIP-58,Head & Neck Symptoms,1
18516,Twisting of the neck?,C0000.00,no_clinical_attributes,,custom_list,,,,Not at all|A little|Moderately|Quite a bit|Extremely,T EHC AMB NEURO CDIP-58,Head & Neck Symptoms,1
18517,Inability to control your head?,C0000.00,no_clinical_attributes,,custom_list,,,,Not at all|A little|Moderately|Quite a bit|Extremely,T EHC AMB NEURO CDIP-58,Head & Neck Symptoms,1
18518,Tension in your neck?,C0000.00,no_clinical_attributes,,custom_list,,,,Not at all|A little|Moderately|Quite a bit|Extremely,T EHC AMB NEURO CDIP-58,Head & Neck Symptoms,1
18519,Straining in your neck?,C0000.00,no_clinical_attributes,,custom_list,,,,Not at all|A little|Moderately|Quite a bit|Extremely,T EHC AMB NEURO CDIP-58,Head & Neck Symptoms,1
18520,Stiffness in your neck?,C0000.00,no_clinical_attributes,,custom_list,,,,Not at all|A little|Moderately|Quite a bit|Extremely,T EHC AMB NEURO CDIP-58,Head & Neck Symptoms,1
18521,Aching in your shoulders?,C0000.00,no_clinical_attributes,,custom_list,,,,Not at all|A little|Moderately|Quite a bit|Extremely,T EHC AMB NEURO CDIP-58,Pain & Discomfort Symptoms,1
