source_concept_code,ws_frequency
14950,205152325
3040109307,205150820
3040000415,73715909
3040111455,52463674
8,38006355
1120100035,35651369
1120100075,35328399
1120100254,35214495
1120100038,34976394
1120100231,34902303
10,33695056
1120100037,32672715
1600100315,32478754
1120100012,32125871
1120100034,31511025
9,30983262
5,29942578
1120100150,29530485
1120100253,29110238
1120440501,28757602
1120100014,28434425
22523,28103420
1120100107,27814827
1120100015,27806077
22525,24905367
1120100013,23384171
22526,23354736
301360,18736670
6,17158403
3040100959,17117610
304850,17020569
1120100041,16290947
301300,15698616
7,15553573
5203010101,13899909
1600100456,13199863
30412000275,12163073
3040104280,11144786
30419000236,11131232
304840,10481572
1120100070,9782096
1120100052,9756669
3040109762,9587941
7060020,9160767
3040109879,9145756
7060070,9015687
1120100048,8695468
760,8183082
752,7514285
891,7449782
301320,7154073
7096660,7091345
304000798,7076472
14,6862358
303750,6836034
1120100255,6646014
301060,6424734
301070,6361990
304000934,6351350
3040102808,6204339
3040109141,6176269
7061190,6112985
301310,5904734
22537,5832877
301870,5790712
11,5730816
2100000074,5727017
7074312,5725953
7074308,5725953
3040102604,5688477
3040102605,5688477
3040102603,5688477
3040102602,5688477
1120100232,5504923
3040104598,5450980
301860,5425108
3040102785,5311674
400630,5304106
3041200029,5245211
303010,5243079
304420,5123829
304460,5122040
304860,5102881
305120,5087475
305130,5081695
305140,5081394
305150,5080264
305160,5078558
305170,5070506
305180,5057009
305500,5037484
2105,4966344
304430,4965587
303800,4924835
3040103232,4872569
304150,4720944
1120100022,4490764
1120100019,4368030
301890,4358145
3040109305,4090129
3040102801,4014488
301880,3991395
3042500002,3969869
6819,3945491
6821,3810695
7060270,3774335
301920,3755214
301930,3751170
3040101192,3749346
301900,3735701
3040101193,3734263
301910,3731882
3040104739,3624088
3040104743,3615303
3040104740,3607896
3040104742,3602229
3040104746,3599454
3040104745,3588410
3040104741,3586881
3040104744,3584920
303440,3581019
3040104747,3560291
3042500049,3560291
3040105119,3557156
21837,3553604
305390,3451126
303450,3450058
3042500006,3419560
305410,3391991
61,3388873
302000,3375481
301960,3368735
301980,3367034
301940,3366500
3041008085,3356801
302570,3353607
21838,3349924
250026,3343873
304110,3339698
304130,3331527
302580,3304905
3040102777,3291391
302010,3283891
3040102775,3278741
3040102778,3276681
301970,3275707
3040102776,3274476
301990,3256475
301950,3252211
301260,3240761
301250,3235433
302390,3205511
305300,3199991
306470,3194567
16659,3166342
304100,3118285
3040109937,3116342
3040109938,3108206
304120,3107395
3040109939,3107197
3040109940,3105644
3040109941,3102556
3040109942,3097638
3040109943,3097638
12783,3076044
1570490025,3020818
