TEMPLATE_ID,TEMPLATE_NAME,DISPLAY_NAME,LINE,START_REMOVED_YN,REQUIRED_STATUS_C,FLO_MEAS_ID,DISP_NAME,ROW_TYP_C,VAL_TYPE_C,UNITS,MINVALUE,MAX_VAL,INTAKE_TYP_C,OUTPUT_TYP_C,MIN_AGE,MAX_AGE,SEX_C
1,DATA RECORD,Data,3,,,4,Fall Risk,1,8,,,,,,,,
1,DATA RECORD,Data,4,,,3,BM,1,8,,,,,,,,
1006,EHC ONCBCN HEMATOLOGY T HEMOPHILIA DENTAL CARE,Dental care,2,Y,,31272,"If no, what are the barriers?",1,8,,,,,,,,
1006,EHC ONCBCN HEMATOLOGY T HEMOPHILIA DENTAL CARE,Dental care,3,Y,,31273,Did the patient follow the treatment plan?,1,8,,,,,,,,
1006,EHC ONCBCN HEMATOLOGY T HEMOPHILIA DENTAL CARE,Dental care,4,Y,,31274,Was there abnormal bleeding?,1,8,,,,,,,,
1006,EHC ONCBCN HEMATOLOGY T HEMOPHILIA DENTAL CARE,Dental care,5,Y,,31818,Describe the abnormal bleeding,1,2,,,,,,,,
1007,EHC ONCBCN HEMATOLOGY T HEMOPHILIA CARRIER CURRENT STATUS,Hemophilia carrier,1,N,,9013,"Factor IX Concentration at Diagnosis (U/mL), One-Stage Method",1,2,,,,,,,,
1007,EHC ONCBCN HEMATOLOGY T HEMOPHILIA CARRIER CURRENT STATUS,Hemophilia carrier,2,Y,,9001,The First of Which Occurred on,1,9,,,,,,,,
1007,EHC ONCBCN HEMATOLOGY T HEMOPHILIA CARRIER CURRENT STATUS,Hemophilia carrier,4,N,,27967,"Exercise equipment in my house or housing community (e.g. treadmill, free weights)",1,8,,,,,,,,
1010,EHC ONCBCN JOINT PAIN HEMOPHILIA,Pain,2,Y,,31285,Is pain chronic?,1,8,,,,,,,,
1010,EHC ONCBCN JOINT PAIN HEMOPHILIA,Pain,3,Y,,31723,Do you avoid any of the following activities due to pain?,1,8,,,,,,,,
1010,EHC ONCBCN JOINT PAIN HEMOPHILIA,Pain,4,Y,,31281,Other pain management regimen?,1,2,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,2,Y,,31185,Other Diagnosis,1,2,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,3,Y,,8931,Severity,1,8,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,4,Y,,31183,Baseline Level,1,2,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,5,Y,,31184,Assay,1,8,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,6,Y,,31047,ISTH BAT Score at Diagnosis,1,1,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,7,Y,,30934,PFD Type,1,8,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,8,Y,,30933,VWD Type,1,8,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,9,Y,,31048,Details about bleeding event if known,1,2,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,10,Y,,31050,What gene(s) was tested?,1,2,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,11,Y,,31051,In what laboratory was the genetic testing performed,1,2,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,12,Y,,31052,Result of genetic testing,1,8,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,13,Y,,31053,Describe VUS,1,2,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,14,Y,,9087,Pathogenic Variant,1,8,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,15,Y,,31054,Describe non-pathogenic mutation,1,2,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,16,Y,,31057,Platelet aggregation results,1,2,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,17,Y,,31058,Date of platelet aggregation results,1,9,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,18,Y,,31059,Platelet ATP release results,1,2,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,19,Y,,31060,Date of platelet ATP Release test performed,1,9,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,20,Y,,31061,Platelet electron microscopy (PTEM),1,2,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,21,Y,,31062,Date PTEM performed,1,9,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,22,Y,,8933,Specify the Causal Mutation,1,2,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,23,Y,,28823,Specify the codon and exon of the mutation if known,1,2,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,24,Y,,31055,Other variants detected,1,2,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,25,Y,,31675,Mutation (DNA Level),1,2,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,26,Y,,31676,Mutation (Protein Level),1,2,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,27,Y,,31065,Immunosuppressive therapy (IST) started,1,8,,,,,,,,
1011,EHC ONCBCN BASELINE CLINIC HEMOPHILIA,Clinical,28,Y,,31066,Initial IST Date Start,1,9,,,,,,,,
