session_id,project_name,created,modified,model,message_count,user_messages,assistant_messages,user_chars,user_words,assistant_chars,assistant_words,total_chars,total_words,tool_calls,agent_tool_calls,clinical_subagents,non_clinical_subagents
14fb44d4-22f3-4cb2-ab74-ef59375939bb,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
35f8926b-76f2-4c2b-81c1-08e69c043418,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5b307e16-506e-4120-8c8d-b0881506420d,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
6ed38ccb-2000-4868-b7f2-613496a25ce2,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
cf9c418c-e854-47b3-bc0b-4c69355ace5e,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
ed00041f-faca-4083-add1-22bd61facdb9,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
f7d97680-778a-4962-a551-bec6e6f458cc,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
6c1d823b-41b2-4fe9-982e-513f2bb9cc6e,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-02-25T05:16:51.409Z,2026-02-25T07:39:51.393Z,claude-opus-4-6,89,31,57,114341,11619,45379,5830,159720,17449,27,0,0,0
agent-a1716862ad9439c97,subagents,2026-02-25T05:17:00.222Z,2026-02-25T05:56:32.024Z,claude-haiku-4-5-20251001,75,31,44,125117,12033,10298,1095,135415,13128,30,0,0,0
agent-afe136eda53ae8d81,subagents,2026-02-25T06:03:13.976Z,2026-02-25T06:14:35.698Z,claude-haiku-4-5-20251001,80,34,46,87652,6813,14499,1454,102151,8267,33,0,0,0
agent-a1efd55a56b7fd442,subagents,2026-02-25T07:28:07.352Z,2026-02-25T07:28:31.868Z,claude-haiku-4-5-20251001,15,7,8,29445,2218,8491,1015,37936,3233,6,0,0,0
agent-a4b7e36d1d17c88e3,subagents,2026-02-25T07:30:18.410Z,2026-02-25T07:36:01.417Z,claude-opus-4-6,110,47,63,177704,13547,29481,2815,207185,16362,46,0,0,0
8bf6b4e5-16e1-4944-9ed6-8548abdb9fe6,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-02-25T07:39:51.391Z,2026-03-04T00:27:19.387Z,claude-opus-4-6,296,137,155,188402,16086,174155,16254,362557,32340,111,0,0,0
agent-a8c33dadd5e1444e5,subagents,2026-02-25T07:39:59.897Z,2026-02-25T07:51:45.875Z,claude-haiku-4-5-20251001,45,16,29,34360,1480,7399,892,41759,2372,15,0,0,0
agent-ab6f62daa6bd64a5c,subagents,2026-02-25T08:14:33.961Z,2026-02-25T08:14:45.630Z,claude-haiku-4-5-20251001,18,9,9,1035,114,833,97,1868,211,7,0,0,0
08e3cdc6-2839-41c1-b9cd-7209b8b9d142,-Users-danielsmith-git-repos-org--Emory-OMOP-CVB--private,2026-03-04T00:27:36.490Z,2026-03-04T01:08:18.951Z,claude-opus-4-6,79,28,51,102140,11626,59244,7295,161384,18921,23,5,0,5
